,#,club,Expenditure,Arrivals,Income,Departures,Balance,Year
0,1,Manchester City,193.5,41,31.82,24,-161.69,2016
1,2,Manchester United,166.5,11,42.53,14,-123.98,2016
2,3,Chelsea,119.52,41,98.01,30,-21.51,2016
3,4,Arsenal,101.74,14,9.32,12,-92.42,2016
4,5,Crystal Palace,91.17,23,45.18,24,-45.99,2016
5,6,Leicester,82.89,17,59.45,19,-23.45,2016
6,7,Everton,77.4,21,54.72,19,-22.68,2016
7,8,Tottenham,75.15,11,47.07,9,-28.08,2016
8,9,West Ham,75.15,22,36.9,18,-38.25,2016
9,10,Liverpool,71.91,23,76.84,19,4.93,2016
10,11,Watford,63.41,38,52.29,35,-11.12,2016
11,12,Southampton,62.01,13,76.55,10,14.54,2016
12,13,Swansea,52.29,23,44.37,17,-7.92,2016
13,14,Middlesbrough,43.16,21,12.15,21,-31.01,2016
14,15,Burnley,41.04,28,1.08,26,-39.96,2016
15,16,Sunderland,37.71,27,21.39,24,-16.32,2016
16,17,Bournemouth,36.62,21,21.32,29,-15.3,2016
17,18,Hull,36.0,25,26.01,20,-9.99,2016
18,19,Stoke,34.9,17,3.42,14,-31.48,2016
19,20,West Bromwich Albion,34.11,14,24.28,14,-9.83,2016
