Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
186,Kortney Hause,eng ENG,DF,Aston Villa,24,1995,17.2,1,20,3,15.0,1.17,0.17,0.05,0.33,7.5,0,0,0,2.1,2.1,0.11,-1.1,-1.1,Matches
187,Isaac Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.7,1,17,3,17.6,0.69,0.12,0.06,0.33,19.7,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
188,Tom Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
189,Dean Henderson,eng ENG,GK,Sheffield Utd,22,1997,36.0,0,1,0,0.0,0.03,0.00,0.00,,7.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
190,Jordan Henderson,eng ENG,MF,Liverpool,29,1990,24.9,4,20,8,40.0,0.80,0.32,0.20,0.50,18.5,0,0,0,1.4,1.4,0.07,+2.6,+2.6,Matches
191,Jeff Hendrick,ie IRL,MF,Burnley,27,1992,21.5,2,22,6,27.3,1.03,0.28,0.09,0.33,18.0,1,0,0,1.5,1.5,0.07,+0.5,+0.5,Matches
192,Wayne Hennessey,wls WAL,GK,Crystal Palace,32,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
193,Javier Hernández,mx MEX,FW,West Ham,31,1988,1.2,1,3,2,66.7,2.52,1.68,0.33,0.50,16.4,1,0,0,0.8,0.8,0.27,+0.2,+0.2,Matches
194,Onel Hernández,cu CUB,"FW,MF",Norwich City,26,1993,15.4,1,30,9,30.0,1.95,0.59,0.03,0.11,17.5,0,0,0,2.5,2.5,0.08,-1.5,-1.5,Matches
195,Son Heung-min,kr KOR,"FW,MF",Tottenham,27,1992,27.5,11,81,39,48.1,2.94,1.42,0.14,0.28,16.6,1,0,1,8.9,8.0,0.10,+2.1,+3.0,Matches
196,George Hirst,eng ENG,FW,Leicester City,20,1999,0.1,0,3,1,33.3,24.55,8.18,0.00,0.00,13.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
197,Rob Holding,eng ENG,DF,Arsenal,23,1995,6.5,0,1,0,0.0,0.15,0.00,0.00,,5.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
198,José Holebas,gr GRE,DF,Watford,35,1984,11.4,0,6,3,50.0,0.53,0.26,0.00,0.00,18.8,1,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
199,Mason Holgate,eng ENG,DF,Everton,22,1996,22.8,0,12,5,41.7,0.53,0.22,0.00,0.00,12.8,0,0,0,2.2,2.2,0.18,-2.2,-2.2,Matches
200,Nathan Holland,eng ENG,MF,West Ham,21,1998,0.4,0,1,1,100.0,2.73,2.73,0.00,0.00,24.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
